company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
A BINNS ELECTRICAL LTD,09082764,A_CEILING_HIT,"established 2014, total-exemption-full filer",ltd,corporate subscriber,2014-06-12,total-exemption-full,"accounts category, NOT turnover",43210,"Turnpike House, 1208/1210 London Road, Leigh-On-Sea, Essex",SS9 2UA,https://find-and-update.company-information.service.gov.uk/company/09082764,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:14+00:00
AMPLE POWER ELECTRICAL LIMITED,12039292,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-06-07,total-exemption-full,"accounts category, NOT turnover",43210,"Ponderosa Chapel Lane, Scrooby, Doncaster",DN10 6AE,https://find-and-update.company-information.service.gov.uk/company/12039292,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:15+00:00
A J CABLE SERVICES LIMITED,SC239399,A_CEILING_HIT,"established 2002, total-exemption-small filer",ltd,corporate subscriber,2002-11-11,total-exemption-small,"accounts category, NOT turnover",43210,"12 Carron Place, Kelvin Industrial Estate, East Kilbride, Glasgow",G75 0YL,https://find-and-update.company-information.service.gov.uk/company/SC239399,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:17+00:00
MKD PLUMBING & HEATING LTD,13379769,A_CEILING_HIT,"established 2021, total-exemption-full filer",ltd,corporate subscriber,2021-05-06,total-exemption-full,"accounts category, NOT turnover",43220,"68 Haigh Moor Road Tingley, Wakefield, West Yorkshire",WF3 1EE,https://find-and-update.company-information.service.gov.uk/company/13379769,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:18+00:00
CJL ELECTRICAL SERVICES LTD,10733300,A_CEILING_HIT,"established 2017, unaudited-abridged filer",ltd,corporate subscriber,2017-04-21,unaudited-abridged,"accounts category, NOT turnover",43210,"Peine House, Hind Hill Street, Heywood",OL10 1JZ,https://find-and-update.company-information.service.gov.uk/company/10733300,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:21+00:00
REH ELECTRICAL SOLUTIONS LIMITED,09972990,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-01-27,total-exemption-full,"accounts category, NOT turnover",43210,"5 Astwick Avenue, Hatfield",AL10 9LB,https://find-and-update.company-information.service.gov.uk/company/09972990,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:22+00:00
TELFAIR CONSTRUCTION LTD,13111863,A_CEILING_HIT,"established 2021, total-exemption-full filer",ltd,corporate subscriber,2021-01-04,total-exemption-full,"accounts category, NOT turnover",41201; 41202; 43290; 43310,"Wrens Nest Golf Lane, Whitehill, Bordon",GU35 9EH,https://find-and-update.company-information.service.gov.uk/company/13111863,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:26+00:00
ZANETTI BUILDING SERVICES LTD,11355851,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-05-11,total-exemption-full,"accounts category, NOT turnover",43210; 43220; 43290,"66 Greenhill Road, Sandford Winscombe, North Somerset, Bristol",BS25 5PB,https://find-and-update.company-information.service.gov.uk/company/11355851,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:28+00:00
DINES INSTALLATIONS LTD,12832840,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-08-24,total-exemption-full,"accounts category, NOT turnover",43210,"Horley Green House, Horley Green Road, Halifax",HX3 6AS,https://find-and-update.company-information.service.gov.uk/company/12832840,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:30+00:00
MIB PLUMBING LTD,13372162,A_CEILING_HIT,"established 2021, total-exemption-full filer",ltd,corporate subscriber,2021-05-03,total-exemption-full,"accounts category, NOT turnover",43220,"60 Mill Mead Business Centre, Millmead Road, London",N17 9QU,https://find-and-update.company-information.service.gov.uk/company/13372162,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:30+00:00
AA CIVILWORK LTD,SC628305,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-04-23,total-exemption-full,"accounts category, NOT turnover",42990; 43210; 61100,"Beechwood Kilbowie Road, Hardgate, Clydebank",G81 6AP,https://find-and-update.company-information.service.gov.uk/company/SC628305,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:37+00:00
JIMMY'S PLUMBING & HEATING LIMITED,08497824,A_CEILING_HIT,"established 2013, total-exemption-full filer",ltd,corporate subscriber,2013-04-22,total-exemption-full,"accounts category, NOT turnover",43220,"The Barn, Porth Bean Road, Newquay, Cornwall",TR7 3LJ,https://find-and-update.company-information.service.gov.uk/company/08497824,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:39+00:00
ECO GRANTS UK LTD,11309586,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-04-13,total-exemption-full,"accounts category, NOT turnover",43220,"Wallander House Capricorn Business Park, Blakewater Road, Blackburn",BB1 5QR,https://find-and-update.company-information.service.gov.uk/company/11309586,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:39+00:00
B & MC LIGHTING LIMITED,05910431,A_CEILING_HIT,"established 2006, total-exemption-full filer",ltd,corporate subscriber,2006-08-18,total-exemption-full,"accounts category, NOT turnover",43210,"1 Darwin Court Sherwood Energy Village, New Ollerton, Newark",NG22 9FE,https://find-and-update.company-information.service.gov.uk/company/05910431,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:41+00:00
VICMIRAS GAS ENGINEER SERVICES LTD,10228786,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-06-13,total-exemption-full,"accounts category, NOT turnover",43220,"24 Ashbury Drive, Tilehurst, Reading",RG31 5LJ,https://find-and-update.company-information.service.gov.uk/company/10228786,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:44+00:00
LORD COMBUSTION SERVICES LIMITED,01625008,A_CEILING_HIT,"established 1982, total-exemption-full filer",ltd,corporate subscriber,1982-03-26,total-exemption-full,"accounts category, NOT turnover",43220,"Senator House, 131 Dudley Road East, Oldbury, West Midlands",B69 3DU,https://find-and-update.company-information.service.gov.uk/company/01625008,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:49+00:00
