company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
M STAR PROPERTY SOLUTIONS LTD,14309164,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2022-08-22,micro-entity,"accounts category, NOT turnover",41100; 41202; 43210; 43220,"85 Shrewsbury Avenue, Harrow, Middlesex",HA3 9NA,https://find-and-update.company-information.service.gov.uk/company/14309164,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:05+00:00
G KEENAN ELECTRICAL SERVICES LTD,SC811182,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2024-05-21,micro-entity,"accounts category, NOT turnover",43210,"16 Lochside Crescent, Airdrie",ML6 6GB,https://find-and-update.company-information.service.gov.uk/company/SC811182,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:06+00:00
SOUTHERN ALARM SERVICES LIMITED,12164598,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-08-19,micro-entity,"accounts category, NOT turnover",43210,"19 Ridgeway Drive, Westward Ho!, Bideford, Devon",EX39 1TW,https://find-and-update.company-information.service.gov.uk/company/12164598,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:06+00:00
A.C DUCTWORK LTD,11234083,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-03-05,micro-entity,"accounts category, NOT turnover",43220,"Unit 1, Rumbush Farm Business Park Rumbush Lane, Earlswood, Solihull",B94 5LW,https://find-and-update.company-information.service.gov.uk/company/11234083,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:07+00:00
HARVEY SYKES LTD,04679743,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2003-02-26,micro-entity,"accounts category, NOT turnover",43210,"3 Wood Row, Throop Road, Bournemouth",BH8 0DN,https://find-and-update.company-information.service.gov.uk/company/04679743,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:08+00:00
WILTSHIRE RENEWABLES LTD,14602954,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2023-01-18,micro-entity,"accounts category, NOT turnover",43220,"2 The Drove, West Wilts Trading Estate, Westbury",BA13 4JE,https://find-and-update.company-information.service.gov.uk/company/14602954,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:08+00:00
CLIFFORD GREEN ELECTRICAL LIMITED,04051139,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2000-08-11,micro-entity,"accounts category, NOT turnover",43210,"50 Broad Street, Leek",ST13 5NS,https://find-and-update.company-information.service.gov.uk/company/04051139,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:09+00:00
QUOTE RENEWABLE ENERGY LIMITED,15733745,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2024-05-21,micro-entity,"accounts category, NOT turnover",43210; 70229,"22 The Macies, Bath",BA1 4HS,https://find-and-update.company-information.service.gov.uk/company/15733745,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:10+00:00
TRUE VOLT ELECTRICAL LTD,15733800,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2024-05-21,micro-entity,"accounts category, NOT turnover",43210,"6 Holst Close, Newport, Gwent",NP19 9JF,https://find-and-update.company-information.service.gov.uk/company/15733800,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:10+00:00
S.K. HEATING & PLUMBING LIMITED,08043961,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2012-04-24,micro-entity,"accounts category, NOT turnover",43220,"166 Newton Road, Great Barr, Birmingham",B43 6BU,https://find-and-update.company-information.service.gov.uk/company/08043961,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:11+00:00
EDELEC SERVICES LIMITED,14295003,B_COMPLIANCE_DROWNED,"young (2022), total-exemption-full filer",ltd,corporate subscriber,2022-08-15,total-exemption-full,"accounts category, NOT turnover",43210,"Abacus House 68a, North Street, Romford",RM1 1DA,https://find-and-update.company-information.service.gov.uk/company/14295003,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:12+00:00
CLIMAC LTD,14065933,B_COMPLIANCE_DROWNED,"young (2022), unaudited-abridged filer",ltd,corporate subscriber,2022-04-25,unaudited-abridged,"accounts category, NOT turnover",35300; 43220,"Unit 15 Vanguard Way, Neptune Court, Cardiff, South Glamorgan",CF24 5PJ,https://find-and-update.company-information.service.gov.uk/company/14065933,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:13+00:00
THE AIR CONDITIONING SPECIALISTS LTD,11893119,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-03-20,micro-entity,"accounts category, NOT turnover",43220,"6 Britannia House Base Business Park, Rendlesham, Woodbridge",IP12 2TZ,https://find-and-update.company-information.service.gov.uk/company/11893119,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:13+00:00
EMMERSON GROUP LTD,15047245,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2023-08-03,micro-entity,"accounts category, NOT turnover",43220; 81210,"63 Hartlands, Bedlington, Northumberland",NE22 6JG,https://find-and-update.company-information.service.gov.uk/company/15047245,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:15+00:00
DB ELECTRICAL (CORNWALL) LTD,14862097,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2023-05-11,micro-entity,"accounts category, NOT turnover",43210,"Gwel Glydn, 92 Bodmin Road, St Austell",PL25 5AG,https://find-and-update.company-information.service.gov.uk/company/14862097,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:16+00:00
OZLEC LTD,SC731682,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2022-05-06,micro-entity,"accounts category, NOT turnover",33140; 43210,"3 Delaney Court, Alloa, Clackmannanshire",FK10 1RA,https://find-and-update.company-information.service.gov.uk/company/SC731682,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:17+00:00
CLIMATEWORKSUK LTD,14878167,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2023-05-18,micro-entity,"accounts category, NOT turnover",43220,"11 Vickers House Priestley Road, Basingstoke",RG24 9NP,https://find-and-update.company-information.service.gov.uk/company/14878167,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:19+00:00
RM HEATING SERVICES LTD,11238743,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-03-07,micro-entity,"accounts category, NOT turnover",43220,"2 Acacia Drive, North Walsham, Norfolk",NR28 0UX,https://find-and-update.company-information.service.gov.uk/company/11238743,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:19+00:00
NEW SYSTEM GROUP LIMITED,12334004,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-11-26,micro-entity,"accounts category, NOT turnover",43210,"62 Wych Hill Park, Woking, Surrey",GU22 0HF,https://find-and-update.company-information.service.gov.uk/company/12334004,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:20+00:00
FACILITEC PROPERTIES LIMITED,05277201,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2004-11-03,micro-entity,"accounts category, NOT turnover",41201; 43210,"Unit 6 17 Whitestone Way, Purley, Croydon, Surrey",CR0 4WF,https://find-and-update.company-information.service.gov.uk/company/05277201,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:22+00:00
WHITE KNIGHT ELECTRICAL CONTRACTORS LTD,12640939,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2020-06-02,micro-entity,"accounts category, NOT turnover",43210,"2 Heather Gardens, Farnborough, Hampshire",GU14 0RU,https://find-and-update.company-information.service.gov.uk/company/12640939,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:23+00:00
DC ELECTRICAL SCOTLAND LIMITED,SC731024,B_COMPLIANCE_DROWNED,"young (2022), total-exemption-full filer",ltd,corporate subscriber,2022-04-29,total-exemption-full,"accounts category, NOT turnover",33140; 43210; 43999; 59113,"65 Arden Avenue, Thornliebank, Glasgow",G46 8PZ,https://find-and-update.company-information.service.gov.uk/company/SC731024,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:24+00:00
WOODWAY PROJECTS LTD,10321889,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2016-08-10,micro-entity,"accounts category, NOT turnover",43290,"190 Billet Road, London",E17 5DX,https://find-and-update.company-information.service.gov.uk/company/10321889,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:25+00:00
SURFASTONE LIMITED,08316593,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2012-12-03,micro-entity,"accounts category, NOT turnover",43290,"112 Morden Road, London",SW19 3BP,https://find-and-update.company-information.service.gov.uk/company/08316593,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:26+00:00
