priority,relationship,company_name,company_number,avatar,avatar_reason,trade_or_sic,region,incorporated,accounts_filing_category,registered_address,postcode,companies_house_url,source,notes
1 — WARM (contact first),warm — existing KEYIS supply chain,Defabs,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fabrication,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Detectnology,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Dieselec Thistle Generators T/A DTGen,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Generators,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Direction Fire Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Dolphin Media & Design,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Telecommunications,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Door Support (North East) Limtied,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Door Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Dougal & Railton Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Drew & Co Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Druggitt and Harding,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Piped Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Dura Pump Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Maintenance,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Durose,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,E & I Engineering Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,E E Thompson & Son Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,E3P,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Ductwork & Ancillaries,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,EES (London) Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,EESI Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,EIT Electrical Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,EMP,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ESE Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,East Anglia Lighting Protection Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,East Solutions Ltd (Energy & Systems Technical),,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Eco Energy Cleaning Solutions,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Hygiene Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Elcomponet Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
